Year	M(10^22 Am^2)
-10010	6.987
-10000	6.936
-9990	6.886
-9980	6.836
-9970	6.787
-9960	6.739
-9950	6.692
-9940	6.646
-9930	6.602
-9920	6.559
-9910	6.517
-9900	6.476
-9890	6.438
-9880	6.401
-9870	6.366
-9860	6.332
-9850	6.301
-9840	6.273
-9830	6.246
-9820	6.221
-9810	6.199
-9800	6.179
-9790	6.161
-9780	6.145
-9770	6.132
-9760	6.120
-9750	6.111
-9740	6.104
-9730	6.100
-9720	6.098
-9710	6.099
-9700	6.102
-9690	6.107
-9680	6.114
-9670	6.124
-9660	6.136
-9650	6.150
-9640	6.165
-9630	6.182
-9620	6.201
-9610	6.221
-9600	6.243
-9590	6.265
-9580	6.289
-9570	6.314
-9560	6.340
-9550	6.367
-9540	6.394
-9530	6.423
-9520	6.453
-9510	6.484
-9500	6.515
-9490	6.547
-9480	6.579
-9470	6.611
-9460	6.643
-9450	6.676
-9440	6.709
-9430	6.742
-9420	6.774
-9410	6.807
-9400	6.840
-9390	6.872
-9380	6.905
-9370	6.937
-9360	6.970
-9350	7.001
-9340	7.033
-9330	7.065
-9320	7.097
-9310	7.128
-9300	7.159
-9290	7.190
-9280	7.221
-9270	7.252
-9260	7.282
-9250	7.312
-9240	7.342
-9230	7.371
-9220	7.399
-9210	7.426
-9200	7.452
-9190	7.477
-9180	7.501
-9170	7.523
-9160	7.544
-9150	7.563
-9140	7.580
-9130	7.596
-9120	7.610
-9110	7.622
-9100	7.633
-9090	7.641
-9080	7.647
-9070	7.651
-9060	7.653
-9050	7.653
-9040	7.650
-9030	7.645
-9020	7.639
-9010	7.632
-9000	7.624
-8990	7.617
-8980	7.608
-8970	7.601
-8960	7.594
-8950	7.588
-8940	7.583
-8930	7.579
-8920	7.576
-8910	7.573
-8900	7.571
-8890	7.569
-8880	7.567
-8870	7.564
-8860	7.561
-8850	7.557
-8840	7.553
-8830	7.547
-8820	7.541
-8810	7.532
-8800	7.523
-8790	7.512
-8780	7.500
-8770	7.486
-8760	7.471
-8750	7.455
-8740	7.437
-8730	7.418
-8720	7.397
-8710	7.375
-8700	7.353
-8690	7.329
-8680	7.305
-8670	7.280
-8660	7.254
-8650	7.229
-8640	7.203
-8630	7.178
-8620	7.154
-8610	7.129
-8600	7.106
-8590	7.083
-8580	7.060
-8570	7.039
-8560	7.018
-8550	6.999
-8540	6.980
-8530	6.962
-8520	6.946
-8510	6.930
-8500	6.915
-8490	6.901
-8480	6.887
-8470	6.874
-8460	6.862
-8450	6.850
-8440	6.838
-8430	6.827
-8420	6.818
-8410	6.809
-8400	6.801
-8390	6.795
-8380	6.789
-8370	6.784
-8360	6.780
-8350	6.777
-8340	6.774
-8330	6.772
-8320	6.770
-8310	6.769
-8300	6.769
-8290	6.770
-8280	6.773
-8270	6.777
-8260	6.782
-8250	6.790
-8240	6.799
-8230	6.810
-8220	6.824
-8210	6.840
-8200	6.858
-8190	6.879
-8180	6.902
-8170	6.928
-8160	6.957
-8150	6.988
-8140	7.022
-8130	7.058
-8120	7.098
-8110	7.140
-8100	7.185
-8090	7.233
-8080	7.284
-8070	7.337
-8060	7.393
